pl_name,pl_rade,pl_bmasse
"TOI-1798.01",2.38506569,6.50000000
"Kepler-93 b",1.56926000,4.54425706
"TOI-733 b",1.99200000,5.72000000
"Kepler-91 b",15.69000000,209.76000000
"Qatar-6 b",11.90395800,212.31044000
"WASP-132 c",1.84100000,6.26000000
"WASP-47 b",12.86000000,374.00000000
"WASP-47 e",1.83000000,9.00000000
"TOI-260 b",1.47291596,3.30000000
"TOI-4379 b",16.69017226,353.74301699
"K2-419 A b",10.55000000,196.00000000
"TOI-260 b",1.71000000,4.23000000
"TOI-5795 b",5.62000000,23.66000000
"WASP-47 b",12.25100000,357.00000000
"WASP-47 d",3.58000000,13.30000000
"WASP-57 b",11.76945000,204.68252000
"K2-98 b",4.93000000,20.00000000
"TOI-169 b",12.17297400,251.40353000
"HD 28109 b",2.69000000,6.20000000
"TOI-2076 b",2.77062554,16.10000000
"WASP-117 b",11.44400000,87.55850000
"HATS-16 b",14.57170000,1039.30410000
"WASP-117 b",11.88154000,95.34900000
"WASP-117 b",11.44438900,87.75286300
"HD 191939 b",3.39000000,10.40000000
"HD 191939 c",3.08000000,7.20000000
"HD 191939 d",3.04000000,5.80000000
"TOI-1246 c",2.45109846,9.10000000
"WASP-47 d",3.71000000,16.80000000
"WASP-47 b",12.89000000,362.31100000
"HATS-13 b",13.58530800,172.58169000
"WASP-47 b",12.77000000,341.00000000
"WASP-47 d",3.63000000,15.20000000
"WASP-47 e",1.82900000,22.00000000
"WASP-47 b",12.71000000,370.00000000
"WASP-55 b",14.96401500,199.27941000
"WASP-47 b",12.63000000,363.10000000
"WASP-47 e",1.81000000,6.83000000
"WASP-55 b",14.90797000,193.87630000
"K2-237 b",18.40517800,392.83788000
"HATS-15 b",12.38594500,689.69110000
"XO-5 b",12.20660100,344.52772000
"TOI-2076 c",3.69441587,55.00000000
"TOI-244 b",1.52000000,2.68000000
"WASP-68 b",14.79588000,343.25640000
"TOI-2076 d",3.43087751,29.00000000
"HD 191939 b",3.39512346,9.60000000
"LP 890-9 c",1.36700000,25.30000000
"HD 191939 b",3.41000000,10.00000000
"HD 191939 c",3.19500000,8.00000000
"HD 191939 d",2.99500000,2.80000000
"TOI-836 b",1.70400000,4.53000000
"HIP 29442 d",1.37000000,5.10000000
"HD 191939 d",3.11688960,2.20000000
